x_value,y_value
-12.52657497255739,-9.995504240358738
-12.526611110063163,-9.995496670559504
-12.52664725706213,-9.995489093280126
-12.526683413629312,-9.995481508524376
-12.526719941551189,-9.99547384033634
-12.526755755770463,-9.995466316600416
-12.526791941496576,-9.995458709441447
-12.526828499101274,-9.995451018640775
-12.526864342643352,-9.995443472755321
-12.526900558218696,-9.995435843239498
-12.526936783899172,-9.995428206283378
-12.526973019763194,-9.995420561893553
-12.527009628402926,-9.99541283352136
-12.527045884974738,-9.995405174211303
-12.527081789246836,-9.995397584193624
-12.527118066637517,-9.995389910142663
-12.527154717543576,-9.995382151845
-12.527190653245695,-9.99537453986488
-12.527226962625548,-9.995366843656315
-12.527263282831518,-9.99535914008085
-12.52729961394582,-9.995351429148638
-12.527335956051191,-9.995343710870227
-12.527372309230689,-9.995335985256606
-12.527408673567855,-9.995328252319204
-12.52744541295949,-9.995320434630479
-12.527481436051481,-9.99531276452084
-12.527518198408224,-9.995304932099746
-12.527554244178889,-9.995297247575111
-12.527590665572392,-9.9952894782052
-12.527627098633745,-9.995281701589173
-12.527663543449464,-9.995273917741535
-12.527700000106538,-9.995266126677315
-12.527736468692318,-9.99525832841196
-12.527772949294608,-9.995250522961369
-12.527809442001638,-9.995242710341952
-12.527845946902096,-9.995234890570586
-12.527882464085023,-9.99522706366468
-12.527918993639936,-9.995219229642052
-12.52795553565676,-9.995211388521101
-12.527992090225888,-9.995203540320658
-12.528028657438048,-9.995195685060088
-12.528065237384425,-9.99518782275928
-12.528101830156654,-9.995179953438637
-12.528138801969249,-9.995171998320636
-12.528175420800299,-9.995164114954035
-12.528211686350964,-9.995156303569727
-12.528248697868127,-9.995148327377537
-12.528284989641566,-9.995140502289033
-12.528321661316289,-9.995132591307422
-12.528358346469863,-9.995124673463678
-12.52839541225337,-9.995116669501273
-12.528431757593756,-9.995108817289257
-12.52846848375518,-9.995100879009708
-12.528505223777675,-9.995092933970321
-12.528541977794777,-9.99508498223399
-12.52857874671572,-9.995077024597759
-12.528615530974255,-9.99506906140322
-12.528652330672365,-9.995061092682391
-12.528689145912436,-9.995053118467956
-12.528726345185548,-9.995045058968952
-12.52876282343027,-9.995037153691898
-12.528799685862666,-9.995029163197561
-12.528836563278997,-9.995021167347652
-12.528873455437465,-9.995013166184476
-12.528910362438188,-9.995005159745022
-12.52894728438154,-9.994997148066927
-12.528984221368397,-9.994989131188513
-12.529021173499977,-9.994981109148712
-12.529058140877845,-9.994973081987105
-12.529095123603982,-9.994965049744039
-12.529132121780664,-9.994957012460349
-12.529169135510662,-9.9949489701777
-12.529206164897023,-9.994940922938364
-12.52924321004315,-9.994932870785336
-12.529280271052826,-9.994924813762266
-12.529317348030238,-9.99491675191351
-12.529354441079906,-9.994908685284138
-12.529391921480995,-9.994900533182516
-12.529428675815735,-9.994892537867356
-12.529465817712673,-9.994884457173663
-12.529502976103364,-9.99487637188674
-12.529540151094082,-9.994868282055306
-12.529577342791374,-9.99486018772871
-12.529614551302144,-9.99485208895712
-12.529651776733635,-9.994843985791373
-12.529689019193423,-9.994835878283176
-12.52972627878935,-9.994827766484889
-12.529763555629618,-9.994819650449681
-12.480296414304984,-9.995341532332473
-12.280334310316505,-9.99723100627069
-12.082368474094212,-9.998810795499454
-11.88521432924203,-9.999177711157072
-11.685248277292775,-9.999569849170687
-11.485280321218191,-9.999910033596011
-11.283573410313123,-9.997482423012258
-11.083602250341942,-9.996434613759504
-10.883631386800285,-9.995333576343729
-10.68003740112385,-9.988038778773065
-10.480086094711126,-9.985557446787814
-10.280135611227088,-9.983028431097356
-10.090082774815581,-10.032278246659272
-9.890110997723559,-10.03297279987118
-9.690137239645644,-10.033598008306985
-9.546805841903279,-9.96326384876469
-9.346861002308884,-9.966363917510566
-9.146918181669754,-9.969420819865977
-8.94697259118656,-9.972436600563967
-8.906075869368786,-9.851343399940681
-8.73492979970246,-9.854706043637819
-8.736056074603841,-9.85458879774458
-8.639396712429308,-9.902276551124253
-8.640569284565894,-9.903001081269219
-8.431042885651344,-10.007660881739609
-8.431643852785365,-10.008993033729993
-8.394713979480043,-10.202761642104521
-8.394455826902222,-10.201376054913792
-8.393860312000688,-10.200261785211408
-8.39302804038469,-10.199399433487992
-8.484475717606404,-9.911542421401778
-8.483163667022692,-9.911250011217712
-8.481818177019207,-9.911357974607865
-8.687061308343136,-9.834730518851117
-8.692351952128826,-9.83107772430819
-8.661620082259654,-9.864314708722691
-8.525214161225078,-10.01092344127602
-8.38892386983447,-10.157217026761144
-8.2520811143793,-10.309773410726892
-8.117419209407219,-10.457581748954524
-7.982790893794977,-10.605435386096165
-7.84718598443661,-10.755193941657872
-7.713416763574834,-10.903820902145235
-7.578547215372495,-11.053429296255946
-7.4445936319037935,-11.201864360529584
-7.310673308296328,-11.350335429931658
-7.177042151563402,-11.491250826053523
-7.041644664780041,-11.638405248840396
-6.906290909494882,-11.78559825213501
-6.770987488930935,-11.935960604789187
-6.637824969095272,-12.082418094017923
-6.5048243676683395,-12.23219874336405
-6.372124228006801,-12.381767299099781
-6.239456585739213,-12.531381128785583
-6.108365242533296,-12.685910424094521
-5.994928274479227,-12.816159662995343
-5.995178978663691,-12.815375474214518
-5.993272525756349,-12.813470804334314
-5.994633772369234,-12.813026476604453
-5.992564399476819,-12.81060799725863
-5.993949929557769,-12.810956426441459
-5.995170786979227,-12.811677357431424
-5.89444297540605,-12.60147939015945
-5.895007676653491,-12.602794932400826
-5.768013245996214,-12.48840794248524
-5.767689460512668,-12.48714657459912
-5.76703051975453,-12.486044721468247
-5.766146300089713,-12.485247176940305
-5.772694606259407,-12.501022441527061
-5.7831051017637805,-12.525620125162575
-5.739702734506551,-12.524034758129837
-5.5377033358877705,-12.530022439340197
-5.339824420283691,-12.535752209523961
-5.145046194251588,-12.54341634911082
-4.945228750094963,-12.550469773061499
-4.745409711224528,-12.557571107150206
-4.546511297170383,-12.565203188679586
-4.346654530723491,-12.571860858644026
-4.143735075139246,-12.575904907422595
-3.9438403947944876,-12.580854571336122
-3.7439579254626203,-12.585854424768804
-3.538379841584728,-12.58200722536697
-3.3404430785249657,-12.584321338259757
-3.1404949742234693,-12.586712743820604
-2.9381538030017476,-12.589946963547966
-2.7402317254298456,-12.594034812621338
-2.540324407082905,-12.598216250465958
